id,amt_inv,months,interes_rate,score_d,status,sub_status,fecha_liberado,fecha_fondeo,capital_p,interes_p,tax_p,interes_m,tax_m,score,year
39052,1000,36,16.9,C3,PAGADO,AL CORRIENTE,07/02/2017,03/02/2017,999.99975,284.33822,45.49414,0,0,C,2017
39080,1000,36,14.9,C1,PAGADO,AL CORRIENTE,08/02/2017,03/02/2017,1000.00031,248.72474,39.79595,0,0,C,2017
39397,500,36,16.9,C3,PAGADO,AL CORRIENTE,07/02/2017,03/02/2017,500.0004,79.3212,12.69134,0,0,C,2017
39328,500,36,21.9,E2,PAGADO,AL CORRIENTE,14/02/2017,03/02/2017,500,117.2703,18.76326,0,0,E,2017
38473,500,36,20.9,E1,CANCELADO,AL CORRIENTE,14/02/2017,03/02/2017,140.8032,99.1639,15.8663,0.0361,0.0058,E,2017
39361,500,36,17.9,D1,PAGADO,INCOBRABLE,15/02/2017,03/02/2017,313.3879,134.4928,21.5188,1.042,0.1668,D,2017
39409,500,36,21.9,E2,LIBERADO,INCOBRABLE,28/02/2017,03/02/2017,162.2971,117.27046,18.76317,4.6951,0.7512,E,2017
39436,500,36,20.9,E1,PAGADO,AL CORRIENTE,16/02/2017,03/02/2017,499.99989,179.70824,28.75338,0,0,E,2017
38745,500,36,22.9,E3,PAGADO,AL CORRIENTE,10/02/2017,03/02/2017,499.99993,190.81104,30.52981,0,0,E,2017
39538,1000,36,14.9,C1,PAGADO,AL CORRIENTE,13/02/2017,03/02/2017,999.9998,248.7243,39.7959,0,0,C,2017
39499,1000,36,13.9,B3,PAGADO,AL CORRIENTE,07/02/2017,03/02/2017,1000.0001,200.4117,32.0659,0,0,B,2017
38904,500,36,19.9,D3,PAGADO,AL CORRIENTE,27/02/2017,03/02/2017,500,105.6697,16.90721,0,0,D,2017
39575,1000,12,16.9,C3,PAGADO,AL CORRIENTE,07/02/2017,03/02/2017,1000,94.0418,15.04669,0,0,C,2017
39017,500,36,23.9,F1,LIBERADO,INCOBRABLE,06/03/2017,03/02/2017,111.96,100.44836,16.0719,46.60972,7.45758,F,2017
38861,500,36,25.9,F3,LIBERADO,INCOBRABLE,16/02/2017,03/02/2017,156.4702,139.5835,22.33333,0,0,F,2017
39183,250,36,18.9,D2,LIBERADO,INCOBRABLE,23/03/2017,11/03/2017,36.7404,25.9109,4.14572,0.374,0.0598,D,2017
40148,500,36,14.9,C1,PAGADO,AL CORRIENTE,21/03/2017,18/03/2017,500,65.2847,10.44558,0,0,C,2017
39431,500,36,17.9,D1,LIBERADO,INCOBRABLE,22/03/2017,18/03/2017,328.9358,137.27552,21.96413,0,0,D,2017
39405,250,36,27.9,G2,CANCELADO,INCOBRABLE,22/03/2017,18/03/2017,64.2937,70.26407,11.24241,29.35143,4.69597,G,2017
39398,250,36,25.9,F3,PAGADO,AL CORRIENTE,24/03/2017,18/03/2017,250.00006,113.84839,18.2156,0.1568,0.0251,F,2017
39673,500,36,14.9,C1,PAGADO,AL CORRIENTE,30/03/2017,18/03/2017,499.99996,124.36238,19.89798,0,0,C,2017
41072,500,24,27.9,G2,LIBERADO,INCOBRABLE,21/03/2017,18/03/2017,223.5662,121.017,19.3628,34.89308,5.58272,G,2017
39109,500,36,19.9,D3,PAGADO,AL CORRIENTE,30/03/2017,18/03/2017,500.0014,24.3396,3.89434,0,0,D,2017
40017,500,36,19.9,D3,PAGADO,AL CORRIENTE,04/04/2017,18/03/2017,500.00011,169.95736,27.19315,0,0,D,2017
41005,500,36,11.9,B1,PAGADO,AL CORRIENTE,05/04/2017,18/03/2017,500.00031,97.80198,15.64833,0,0,B,2017
41053,500,24,18.9,D2,PAGADO,AL CORRIENTE,21/03/2017,18/03/2017,499.9999,94.5795,15.13272,0,0,D,2017
41057,500,36,16.9,C3,CANCELADO,AL CORRIENTE,24/03/2017,18/03/2017,123.2381,68.906,11.02507,1.0515,0.1683,C,2017
40363,500,36,20.9,E1,PAGADO,INCOBRABLE,05/04/2017,18/03/2017,364.29234,170.66628,27.30684,6.7405,1.07851,E,2017
40721,500,36,17.9,D1,PAGADO,AL CORRIENTE,18/04/2017,18/03/2017,499.99989,150.03514,24.00562,0.72121,0.11546,D,2017
40286,500,36,22.9,E3,PAGADO,AL CORRIENTE,12/04/2017,18/03/2017,499.99994,185.5246,29.68399,0,0,E,2017
40183,500,36,18.9,D2,PAGADO,AL CORRIENTE,06/04/2017,18/03/2017,500,65.1015,10.41622,0,0,D,2017
40580,250,36,18.9,D2,PAGADO,AL CORRIENTE,25/04/2017,18/03/2017,250,80.62763,12.90038,0,0,D,2017
40539,500,36,14.9,C1,PAGADO,AL CORRIENTE,10/04/2017,18/03/2017,500.00016,124.36239,19.89796,0.05742,0.00919,C,2017
39985,500,36,15.9,C2,PAGADO,EN MORA,19/04/2017,18/03/2017,500.00006,133.69433,21.3911,44.81612,7.17057,C,2017
38759,500,36,12.9,B2,PAGADO,AL CORRIENTE,06/04/2017,18/03/2017,500.00018,106.87588,17.10003,0,0,B,2017
40439,500,36,18.9,D2,PAGADO,AL CORRIENTE,25/04/2017,18/03/2017,499.99988,161.25502,25.80077,0,0,D,2017
41312,500,24,22.9,E3,PAGADO,AL CORRIENTE,07/04/2017,06/04/2017,500.0002,129.0057,20.64091,0,0,E,2017
41076,500,36,13.9,B3,PAGADO,AL CORRIENTE,10/04/2017,06/04/2017,500.00017,113.92596,18.22811,0,0,B,2017
41198,250,36,18.9,D2,LIBERADO,INCOBRABLE,26/04/2017,25/04/2017,104.77782,57.87588,9.26014,6.72517,1.07603,D,2017
42649,500,36,27.9,G2,CANCELADO,INCOBRABLE,03/05/2017,29/04/2017,418.0518,243.4274,38.94831,1.0231,0.16371,G,2017
40838,500,36,21.9,E2,PAGADO,AL CORRIENTE,03/05/2017,29/04/2017,500.00002,171.03884,27.36621,0,0,E,2017
40856,250,36,20.9,E1,LIBERADO,INCOBRABLE,09/05/2017,29/04/2017,0,0,0,0,0,E,2017
42126,250,36,15.9,C2,CANCELADO,EN MORA,,29/04/2017,0,0,0,0,0,C,1900
41270,500,36,18.9,D2,PAGADO,AL CORRIENTE,42859,29/04/2017,499.99998,161.25505,25.80077,0,0,D,2017
42714,500,36,22.9,E3,PAGADO,AL CORRIENTE,42866,09/05/2017,500,198.471,31.75535,0,0,E,2017
41343,500,36,18.9,D2,PAGADO,AL CORRIENTE,42867,09/05/2017,500.00015,148.56809,23.77084,0,0,D,2017
41534,500,36,24.9,F2,PAGADO,AL CORRIENTE,42871,09/05/2017,499.99974,218.55142,34.96819,0,0,F,2017
41349,500,36,25.9,F3,LIBERADO,INCOBRABLE,42870,09/05/2017,45.8655,60.2703,9.64328,1.239,0.1982,F,2017
41243,500,36,22.9,E3,LIBERADO,INCOBRABLE,42872,09/05/2017,188.0516,135.79517,21.72715,0.8939,0.143,E,2017
41197,500,36,26.9,G1,LIBERADO,INCOBRABLE,42865,09/05/2017,271.29932,204.413,32.70605,20.47756,3.27646,G,2017
41827,500,36,20.9,E1,PAGADO,AL CORRIENTE,42878,09/05/2017,500,41.8323,6.69315,0,0,E,2017
42804,500,24,19.9,D3,PAGADO,AL CORRIENTE,42867,09/05/2017,500.0005,108.44365,17.35095,0.1944,0.0311,D,2017
43154,500,36,10.9,A3,CANCELADO,AL CORRIENTE,,20/05/2017,0,0,0,0,0,A,1900
42756,500,36,18.9,D2,PAGADO,AL CORRIENTE,42878,20/05/2017,500.0001,58.5506,9.36822,0,0,D,2017
41389,500,36,13.9,B3,CANCELADO,AL CORRIENTE,,20/05/2017,0,0,0,0,0,B,1900
41713,500,36,20.9,E1,PAGADO,AL CORRIENTE,42881,20/05/2017,500.00017,179.7086,28.75335,0,0,E,2017
43120,500,36,27.9,G2,LIBERADO,INCOBRABLE,42879,20/05/2017,105.7948,117.1231,18.73966,1.0259,0.16416,G,2017
41868,500,36,17.9,D1,CANCELADO,AL CORRIENTE,,20/05/2017,0,0,0,0,0,D,1900
43102,500,36,27.9,G2,PAGADO,AL CORRIENTE,42879,20/05/2017,499.99985,248.25975,39.72154,0.00289,0.00046,G,2017
42088,250,36,20.9,E1,PAGADO,AL CORRIENTE,42895,04/06/2017,250,89.85398,14.37677,0.49407,0.07906,E,2017
42702,250,36,14.9,C1,PAGADO,AL CORRIENTE,42893,04/06/2017,250.00018,62.1813,9.94894,0,0,C,2017
43729,250,36,19.9,D3,CANCELADO,AL CORRIENTE,,04/06/2017,0,0,0,0,0,D,1900
42845,500,36,25.9,F3,LIBERADO,INCOBRABLE,42894,04/06/2017,132.112,123.9854,19.83768,0.7652,0.1224,F,2017
42899,500,36,23.9,F1,PAGADO,AL CORRIENTE,42891,04/06/2017,499.99996,197.73204,31.63713,0,0,F,2017
42897,250,36,21.9,E2,PAGADO,AL CORRIENTE,42902,04/06/2017,249.9999,45.2227,7.23559,0,0,E,2017
43098,500,36,24.9,F2,PAGADO,INCOBRABLE,42900,04/06/2017,362.16014,207.20532,33.1527,10.36466,1.65834,F,2017
43339,500,36,19.9,D3,PAGADO,EN MORA,42908,04/06/2017,500,169.95726,27.19324,10.39614,1.66338,D,2017
43394,250,36,16.9,C3,PAGADO,EN MORA,42893,04/06/2017,249.99986,71.08437,11.37345,1.14371,0.18304,C,2017
44353,500,24,18.9,D2,LIBERADO,INCOBRABLE,42899,11/06/2017,124.1028,54.6752,8.74809,3.1374,0.502,D,2017
44505,500,36,19.9,D3,LIBERADO,INCOBRABLE,42923,01/07/2017,349.80852,159.1195,25.45913,13.95075,2.23209,D,2017
43781,500,36,19.9,D3,LIBERADO,INCOBRABLE,42920,01/07/2017,236.68848,135.34197,21.6546,11.40013,1.82398,D,2017
43904,500,36,21.9,E2,CANCELADO,AL CORRIENTE,42926,01/07/2017,231.05726,145.57904,23.29261,1.42374,0.22779,E,2017
44268,500,36,25.9,F3,LIBERADO,INCOBRABLE,42934,11/07/2017,45.8657,60.5709,9.69129,2.0239,0.3238,F,2017
45730,500,24,18.9,D2,PAGADO,AL CORRIENTE,42949,30/07/2017,500.00013,105.43179,16.86909,0,0,D,2017
45984,250,24,21.9,E2,PAGADO,AL CORRIENTE,42950,30/07/2017,249.99991,60.26648,9.64267,0,0,E,2017
46460,250,36,16.9,C3,PAGADO,AL CORRIENTE,42964,14/08/2017,250.00007,66.65589,10.66493,0,0,C,2017
46246,500,36,18.9,D2,PAGADO,AL CORRIENTE,42965,14/08/2017,500,77.6561,12.42495,0,0,D,2017
47032,500,36,18.9,D2,PAGADO,AL CORRIENTE,42998,10/09/2017,499.99999,161.25492,25.80078,0,0,D,2017
47294,500,36,15.9,C2,CANCELADO,AL CORRIENTE,0000-00-00,10/09/2017,0,0,0,0,0,C,#VALUE!
47457,447.23,42,22.9,E3,,,42993,18/03/2017,0,0,0,0,0,E,2017
47437,500,24,17.9,D1,PAGADO,AL CORRIENTE,43007,28/09/2017,499.9999,28.2902,4.52644,0,0,D,2017
47661,250,36,22.9,E3,PAGADO,AL CORRIENTE,43011,28/09/2017,249.99994,99.23539,15.87763,0,0,E,2017
46875,250,36,23.9,F1,PAGADO,AL CORRIENTE,43007,28/09/2017,249.99999,97.38306,15.58133,0,0,F,2017
47033,250,36,13.9,B3,PAGADO,AL CORRIENTE,43007,28/09/2017,250.00017,57.55962,9.20949,0,0,B,2017
47476,500,36,18.9,D2,PAGADO,AL CORRIENTE,43014,02/10/2017,499.99995,160.37338,25.6597,3.83937,0.61433,D,2017
47763,500,36,13.9,B3,PAGADO,AL CORRIENTE,43020,02/10/2017,500.00019,95.2162,15.23452,0,0,B,2017
47197,500,36,21.9,E2,LIBERADO,INCOBRABLE,43013,02/10/2017,290.08104,163.65006,26.184,4.30412,0.68866,E,2017
47240,500,36,15.9,C2,PAGADO,AL CORRIENTE,43011,02/10/2017,500.00039,132.2816,21.16496,0,0,C,2017
47581,500,36,14.9,C1,PAGADO,AL CORRIENTE,43018,02/10/2017,499.99999,123.70842,19.79335,0.61269,0.09803,C,2017
47490,500,36,16.9,C3,PAGADO,AL CORRIENTE,43018,02/10/2017,499.99974,142.16873,22.747,0,0,C,2017
47953,500,24,12.9,B2,PAGADO,AL CORRIENTE,43025,14/10/2017,499.99993,65.2431,10.43894,0,0,B,2017
47846,250,36,24.9,F2,LIBERADO,INCOBRABLE,43024,14/10/2017,95.3049,77.3864,12.38187,8.11427,1.29837,F,2017
48170,250,24,19.9,D3,PAGADO,AL CORRIENTE,43024,14/10/2017,250.00002,55.48208,8.87707,0.08454,0.01353,D,2017
47774,250,36,17.9,D1,LIBERADO,INCOBRABLE,43025,14/10/2017,129.87144,62.39556,9.98327,0.88358,0.14137,D,2017
47667,500,36,13.9,B3,PAGADO,AL CORRIENTE,43027,14/10/2017,500.0002,95.21611,15.23454,0,0,B,2017
47839,250,36,21.9,E2,PAGADO,AL CORRIENTE,43028,14/10/2017,249.99988,94.77255,15.16362,0,0,E,2017
47863,500,36,16.9,C3,PAGADO,AL CORRIENTE,43028,14/10/2017,499.99964,142.16883,22.7471,0.13812,0.0221,C,2017
47882,250,36,19.9,D3,PAGADO,AL CORRIENTE,43035,14/10/2017,249.99994,84.97877,13.59657,0,0,D,2017
47711,250,36,13.9,B3,PAGADO,AL CORRIENTE,43028,14/10/2017,250.00026,57.55959,9.20954,0,0,B,2017
47701,250,36,22.9,E3,LIBERADO,INCOBRABLE,43045,14/10/2017,121.70661,78.68628,12.58983,0.02241,0.00359,E,2017
47749,250,36,15.9,C2,PAGADO,AL CORRIENTE,43039,14/10/2017,249.99981,65.67585,10.5081,0,0,C,2017
47814,250,36,18.9,D2,CANCELADO,AL CORRIENTE,43055,14/10/2017,25.763,18.9217,3.02747,0,0,D,2017
47840,250,36,20.9,E1,PAGADO,AL CORRIENTE,43038,14/10/2017,250.00014,91.05463,14.56868,0.89068,0.14247,E,2017
47905,250,36,20.9,E1,PAGADO,EN MORA,43040,14/10/2017,250.00025,91.22529,14.59604,0.44145,0.07063,E,2017
48065,250,36,19.9,D3,PAGADO,AL CORRIENTE,43025,14/10/2017,249.99995,84.97836,13.59654,0,0,D,2017
48084,250,36,16.9,C3,PAGADO,AL CORRIENTE,43026,14/10/2017,250.0001,28.9045,4.6247,0,0,C,2017
47621,250,36,22.9,E3,PAGADO,AL CORRIENTE,43027,14/10/2017,250.00006,67.57688,10.81231,0,0,E,2017
47703,250,36,24.9,F2,PAGADO,AL CORRIENTE,43024,14/10/2017,250.00038,70.68432,11.30937,1.0642,0.1703,F,2017
48010,250,24,15.9,C2,PAGADO,AL CORRIENTE,43026,14/10/2017,250.00018,39.4586,6.31334,0,0,C,2017
47957,500,36,16.9,C3,PAGADO,AL CORRIENTE,43033,21/10/2017,500.0002,63.44145,10.15064,0,0,C,2017
48031,250,36,17.9,D1,PAGADO,AL CORRIENTE,43031,21/10/2017,250.00045,71.07165,11.37137,0,0,D,2017
48016,250,36,19.9,D3,PAGADO,AL CORRIENTE,43045,21/10/2017,249.99992,63.17527,10.10798,0,0,D,2017
48202,500,24,15.9,C2,CANCELADO,AL CORRIENTE,0000-00-00,21/10/2017,0,0,0,0,0,C,#VALUE!
47769,500,36,14.9,C1,LIBERADO,INCOBRABLE,43042,21/10/2017,164.602,77.88439,12.4615,0.54736,0.08758,C,2017
47903,250,36,21.9,E2,PAGADO,AL CORRIENTE,43048,21/10/2017,249.99992,94.77269,15.16366,0.59164,0.0947,E,2017
48220,250,24,18.9,D2,PAGADO,AL CORRIENTE,43034,21/10/2017,249.99999,52.71569,8.43453,0.08152,0.01304,D,2017
48211,250,36,26.9,G1,PAGADO,AL CORRIENTE,43054,21/10/2017,250,32.1316,5.14105,0,0,G,2017
48299,250,36,18.9,D2,PAGADO,AL CORRIENTE,43032,21/10/2017,249.99992,80.47969,12.87674,0,0,D,2017
48321,250,36,23.9,F1,PAGADO,AL CORRIENTE,43055,21/10/2017,250.0001,104.23473,16.67747,0,0,F,2017
48264,250,36,27.9,G2,PAGADO,INCOBRABLE,43048,04/11/2017,31.8473,38.5879,6.1741,0.41699,0.06668,G,2017
48290,500,36,15.9,C2,PAGADO,AL CORRIENTE,43054,04/11/2017,499.99992,69.96878,11.19501,0,0,C,2017
48379,250,36,24.9,F2,CANCELADO,INCOBRABLE,43074,04/11/2017,134.00783,91.66166,14.66585,29.58987,4.73439,F,2017
48387,250,36,19.9,D3,LIBERADO,INCOBRABLE,43069,04/11/2017,162.65964,76.80122,12.28813,0.0613,0.0098,D,2017
48506,250,36,22.9,E3,LIBERADO,INCOBRABLE,43056,04/11/2017,4.617,4.7629,0.7621,0,0,E,2017
48531,250,36,20.9,E1,PAGADO,AL CORRIENTE,43047,04/11/2017,250.00046,89.8545,14.37663,0,0,E,2017
48630,500,36,16.9,C3,PAGADO,AL CORRIENTE,43049,04/11/2017,499.99994,142.16908,22.747,0,0,C,2017
48691,250,36,20.9,E1,PAGADO,AL CORRIENTE,43054,04/11/2017,250,20.9161,3.34663,0.0873,0.014,E,2017
48780,250,36,24.9,F2,PAGADO,AL CORRIENTE,43067,04/11/2017,250.00008,103.6027,16.57648,0,0,F,2017
48637,250,36,22.9,E3,PAGADO,AL CORRIENTE,43062,11/11/2017,250.00006,43.42856,6.94855,0,0,E,2017
48681,500,36,16.9,C3,PAGADO,AL CORRIENTE,43083,11/11/2017,500.0001,57.80908,9.24942,0,0,C,2017
48702,250,36,27.9,G2,LIBERADO,INCOBRABLE,43077,11/11/2017,17.4685,22.6795,3.62873,0,0,G,2017
48715,250,36,19.9,D3,PAGADO,AL CORRIENTE,43068,11/11/2017,250.00001,84.97891,13.59655,0,0,D,2017
48738,250,36,20.9,E1,CANCELADO,AL CORRIENTE,43096,11/11/2017,131.04518,73.64597,11.78333,0.08119,0.01299,E,2017
48772,250,36,21.9,E2,PAGADO,AL CORRIENTE,43052,11/11/2017,249.99969,94.77251,15.16361,0.8185,0.13096,E,2017
48818,250,36,18.9,D2,PAGADO,AL CORRIENTE,43066,11/11/2017,250.00015,78.46243,12.55401,0,0,D,2017
49048,250,36,21.9,E2,PAGADO,AL CORRIENTE,43062,11/11/2017,249.99983,94.77246,15.16363,0,0,E,2017
48923,250,36,28.9,G3,PAGADO,AL CORRIENTE,43056,11/11/2017,250,78.41925,12.54705,0,0,G,2017
48966,250,36,25.9,F3,PAGADO,AL CORRIENTE,43052,11/11/2017,249.99999,49.35334,7.89652,0,0,F,2017
48898,500,36,22.9,E3,PAGADO,AL CORRIENTE,43077,12/11/2017,499.99992,198.47096,31.75537,0,0,E,2017
48901,500,24,14.9,C1,PAGADO,AL CORRIENTE,43070,12/11/2017,500.00032,81.83041,13.0928,0,0,C,2017
48945,500,36,15.9,C2,CANCELADO,INCOBRABLE,43075,12/11/2017,405.49492,130.19708,20.83149,33.89985,5.42397,C,2017
49038,250,36,22.9,E3,LIBERADO,INCOBRABLE,43082,20/11/2017,39.9232,39.2054,6.27287,2.53869,0.40624,E,2017
49075,500,36,18.9,D2,PAGADO,AL CORRIENTE,43060,20/11/2017,499.99994,161.25483,25.80076,0,0,D,2017
49080,500,36,9.9,A2,PAGADO,AL CORRIENTE,43074,20/11/2017,500.0001,8.1791,1.30866,0,0,A,2017
49097,500,24,18.9,D2,PAGADO,AL CORRIENTE,43063,20/11/2017,500.00045,105.4322,16.86908,0.0032,0.00051,D,2017
49154,250,36,26.9,G1,PAGADO,INCOBRABLE,43061,20/11/2017,132.38956,99.57022,15.9313,3.12669,0.50029,G,2017
49230,500,36,12.9,B2,PAGADO,AL CORRIENTE,43066,20/11/2017,500.00009,105.77828,16.92449,0,0,B,2017
48067,250,36,20.9,E1,PAGADO,AL CORRIENTE,43105,20/11/2017,250,16.9066,2.70505,0,0,E,2018
48885,250,36,21.9,E2,LIBERADO,INCOBRABLE,43103,20/11/2017,51.7273,41.59906,6.65592,0.1751,0.028,E,2018
49046,250,24,22.9,E3,PAGADO,AL CORRIENTE,43068,20/11/2017,249.99988,64.50259,10.32043,0,0,E,2017
49087,250,36,23.9,F1,LIBERADO,INCOBRABLE,43069,20/11/2017,99.66403,73.95905,11.83339,0,0,F,2017
49129,500,36,18.9,D2,LIBERADO,INCOBRABLE,43066,20/11/2017,107.9426,71.47099,11.43535,0,0,D,2017
49196,250,36,22.9,E3,LIBERADO,INCOBRABLE,43090,20/11/2017,14.1595,14.0229,2.2437,0.5804,0.0928,E,2017
49226,500,36,13.9,B3,PAGADO,AL CORRIENTE,43066,20/11/2017,500.00006,113.13916,18.10226,0,0,B,2017
48681,250,36,16.9,C3,PAGADO,AL CORRIENTE,43083,11/12/2017,250,28.90439,4.62471,0,0,C,2017
48738,250,36,20.9,E1,CANCELADO,AL CORRIENTE,43096,11/12/2017,131.04518,73.64597,11.78333,0.08119,0.01299,E,2017
49350,250,36,24.9,F2,PAGADO,AL CORRIENTE,43090,11/12/2017,250.00029,104.98811,16.7981,0.10695,0.01711,F,2017
49378,250,36,24.9,F2,PAGADO,AL CORRIENTE,43087,11/12/2017,250.00035,109.27583,17.48414,0.76312,0.12213,F,2017
49421,250,36,17.9,D1,PAGADO,AL CORRIENTE,43095,11/12/2017,250.00002,69.91368,11.18617,0.26645,0.04263,D,2017
49665,250,24,16.9,C3,PAGADO,AL CORRIENTE,43083,11/12/2017,250.00007,46.62666,7.46019,0.10317,0.01651,C,2017
49898,250,36,13.9,B3,PAGADO,AL CORRIENTE,43087,11/12/2017,250.0003,32.38383,5.18139,0,0,B,2017
49490,250,36,20.9,E1,LIBERADO,INCOBRABLE,43116,06/01/2018,35.6299,31.29267,5.00688,5.94133,0.95057,E,2018
49707,250,36,24.9,F2,LIBERADO,INCOBRABLE,43122,06/01/2018,70.00578,63.45462,10.15283,12.08843,1.93421,F,2018
49722,250,36,20.9,E1,LIBERADO,INCOBRABLE,43125,06/01/2018,70.4017,49.58171,7.93315,0,0,E,2018
49826,250,36,25.9,F3,LIBERADO,INCOBRABLE,43112,06/01/2018,118.59789,90.0199,14.40318,0.29128,0.0466,F,2018
49854,250,36,16.9,C3,CANCELADO,AL CORRIENTE,0000-00-00,06/01/2018,0,0,0,0,0,C,#VALUE!
49864,250,36,18.9,D2,PAGADO,AL CORRIENTE,43111,06/01/2018,250.00002,80.18663,12.82988,0,0,D,2018
49884,250,36,18.9,D2,PAGADO,AL CORRIENTE,43111,06/01/2018,250,80.62746,12.90042,0.87628,0.14021,D,2018
49955,250,36,26.9,G1,PAGADO,AL CORRIENTE,43109,06/01/2018,249.99999,118.9687,19.03493,0,0,G,2018
49751,250,36,20.9,E1,CANCELADO,AL CORRIENTE,0000-00-00,25/01/2018,0,0,0,0,0,E,#VALUE!
50803,250,36,17.9,D1,PAGADO,AL CORRIENTE,43138,25/01/2018,250.00016,74.48124,11.91698,0,0,D,2018
50990,250,36,21.9,E2,LIBERADO,INCOBRABLE,43131,25/01/2018,51.7272,44.37873,7.10056,0.7479,0.1197,E,2018
51127,250,36,18.9,D2,LIBERADO,INCOBRABLE,43146,25/01/2018,91.37703,52.84656,8.45543,0,0,D,2018
51256,250,36,27.9,G2,LIBERADO,INCOBRABLE,43146,25/01/2018,11.4255,17.16157,2.74584,0.7737,0.1238,G,2018
